reference	GSL5	GSL10	GSL15	GSL20	GSL25	GSL30	GSL35	GSL40	GSL45	GSL50	GSL55	GSL60	GSL65	GSL70	GSL75	GSL80	GSL85	GSL90	GSL95	GSL100	GSL105	GSL110	GSL115	GSL120	GSL125	GSL130	GSL135	GSL140	GSL145	GSL150	GSL155	GSL160	GSL165	GSL170	GSL175	GSL180	GSL185	GSL190	GSL195	GSL200	GSL205	GSL210	GSL215	GSL220	GSL225	GSL230	GSL235	GSL240	GSL245	GSL250	GSL255	GSL260	GSL265	GSL270	GSL275	GSL280	GSL285	GSL290	GSL295	GSL315	GSL320	GSL325	GSL330	GSL335	GSL340	GSL345	GSL350	GSL355																																																																					
Time	Area																																																																																																																																								
		7.396	926	7.001	934	5.775	4280	8.647	1105	6.978	2208	10.5	1301	6.974	1765	7.92	756	7.349	1671	6.968	1573	5.512	59558	5.982	3031	7.349	4349	5.85	3024	5.773	5591	5.984	4196	8.011	1066	5.832	429	8.017	1157	6.72	361	5.657	1943	7.35	2451	7.609	672	7.35	3308	6.339	991	7.398	1289	7.611	606	5.977	3202	7.699	955	8.265	1230	6.395	454	7.863	4999	7.156	3640	7.912	751	8.266	1220	8.004	848	6.056	957	8.287	1898	6.052	1098	5.76	5469	6.329	180	7.073	356	8.253	1378	7.523	359	6.472	168	6.044	936	7.894	678	6.379	17631	6.379	351	6.042	1195	11.804	249	6.043	809	7.848	5352	9.806	637	7.082	405	6.957	1675	5.839	2912	5.468	2034	5.876	1256	8.615	938	11.599	468	11.341	895	9.749	1256	14.913	1596	7.986	527	13.526	1025	7.892	882	9.749	722
		7.54	200	7.097	405	5.896	2524	8.693	633	7.106	915	10.589	339	7.006	1411	8.015	955	7.396	691	7	1165	5.647	4149	6.342	277	7.396	1309	5.983	4136	5.889	3730	6.396	29343	8.269	837	5.966	2639	8.302	2562	6.972	639	5.776	5167	7.402	688	7.87	6114	7.397	1003	6.4	446	7.544	331	7.709	1171	6.345	651	7.862	4209	8.576	181	6.556	1611	7.909	931	7.342	3388	8.007	1001	8.637	1141	8.261	497	6.665	959	8.629	1378	6.501	555	5.879	2924	6.383	18074	7.329	4680	8.62	720	7.588	710	6.538	50547	6.655	994	7.992	937	6.473	177	6.541	1249	6.489	439	12.058	5214	6.652	809	7.896	920	10.357	221	7.336	4576	7.336	1894	5.971	4061	5.68	19496	6.044	607	8.664	438	11.917	751	11.416	695	10.473	2468	15.85	465	8.614	624	14.34	15818	7.988	1149	10.472	2242
		7.608	471	7.349	3308	6.062	1338	8.805	542	7.359	4612	10.646	785	7.1	790	8.272	1317	7.87	2425	7.113	771	5.771	6797	6.395	25830	7.543	366	6.145	554	6.059	1921	6.496	455	8.301	445	6.328	748	8.646	1271	7.097	525	5.904	3615	7.61	339	7.916	1107	7.544	263	6.56	1335	7.61	756	7.872	5470	6.398	2401	7.908	732	8.637	1299	6.717	755	8.006	1255	7.389	1115	8.265	1436	8.795	759	8.289	760	6.81	2897	8.677	518	6.662	1068	6.047	1718	6.479	189	7.376	1188	8.779	689	7.686	1361	6.664	713	6.799	2852	8.274	3822	6.538	58616	6.696	1154	6.653	1196	12.245	1054	6.794	2421	7.99	1228	10.466	2192	7.386	747	7.528	230	6.32	1384	5.96	933	6.649	815	8.775	403	12.054	2298	11.496	1067	10.612	487	16.609	483	8.664	313	14.91	1418	8.253	1013	10.616	276
		7.869	4694	7.398	983	6.512	491	9.328	396	7.408	1030	11.529	1127	7.354	4505	8.644	809	7.92	550	7.347	4228	5.89	4518	6.492	338	7.61	713	6.321	1539	6.323	382	6.556	95545	8.639	1191	6.385	2004	8.692	644	7.351	4725	6.063	1658	7.708	936	8.013	1390	7.61	601	6.72	1012	7.872	6864	7.918	918	6.569	9761	8.005	1052	8.684	1159	6.962	1442	8.262	1180	7.537	280	8.635	1091	8.914	324	8.632	912	6.914	1788	8.788	611	6.802	3128	6.495	567	6.541	58570	7.522	358	9.393	5524	7.849	6101	6.957	9367	6.902	1626	8.513	1225	6.666	490	6.95	971	6.796	3932	12.767	1637	6.901	1412	8.276	1548	10.556	637	7.529	330	7.596	522	6.383	27243	6.127	2082	6.798	2273	9.59	925	12.983	646	11.6	657	10.648	1189	17.09	615	8.774	293	16.609	388	8.616	1277	10.716	991
		7.916	906	7.543	225	6.685	2492	9.42	431	7.553	335	11.966	5331	7.402	1278	8.802	473	8.012	656	7.396	1068	6.058	2039	6.555	84513	7.707	1431	6.396	28744	6.507	873	6.685	849	8.685	697	6.559	8316	8.804	631	7.4	1147	6.322	1629	7.871	3582	8.273	1572	7.708	1200	6.97	1261	7.917	1277	8.015	1350	6.719	1286	8.155	272	8.796	817	6.996	1505	8.633	1455	7.604	173	8.683	538	9.41	8841	8.679	594	6.99	587	9.311	368	6.909	1810	6.601	172	6.667	510	7.588	830	9.592	899	7.893	1120	7.143	4514	6.977	951	8.619	1693	6.698	298	7.072	660	6.902	2346	12.928	406	6.977	766	8.619	1382	10.614	1276	7.6	798	7.695	1174	6.481	321	6.312	6996	6.902	1259	9.747	334	13.528	1018	11.913	951	10.718	1867	17.361	351	10.258	365	17.087	265	8.665	794	10.825	550
		8.011	1134	7.611	578	6.817	3545	9.606	1352	7.62	683	12.088	946	7.548	358	8.92	254	8.292	2372	7.542	277	6.507	1144	6.685	709	7.87	6378	6.496	350	6.613	229	6.718	817	8.798	517	6.71	988	9.327	583	7.544	287	6.511	705	7.918	651	8.641	1909	7.871	4865	7.096	747	8.014	1627	8.165	324	6.972	3453	8.191	396	9.319	500	7.091	985	8.68	1198	7.862	8820	8.794	493	9.599	1305	8.791	429	7.298	987	9.583	1963	6.986	701	6.665	2637	6.704	259	7.85	6363	9.709	259	7.992	1561	7.328	4161	7.287	957	8.67	416	6.957	10176	7.327	6477	6.973	1399	13.007	718	7.284	787	8.667	663	11.175	414	7.858	4764	7.857	2510	6.543	87106	6.542	786	6.98	581	9.879	419	14.343	9764	12.054	3081	10.824	643	17.442	1685	10.471	1723	17.438	885	8.776	744	10.912	621
		8.295	1306	7.707	1166	6.924	2189	9.836	222	7.718	1367	12.243	934	7.615	793	9.324	426	8.529	699	7.61	641	6.61	324	6.718	400	7.916	1159	6.556	93516	6.683	3779	6.976	16439	9.321	465	6.961	5474	9.598	1940	7.611	654	6.681	2845	8.015	914	8.692	572	7.917	824	7.35	6356	8.276	1929	8.201	580	6.999	3037	8.287	4148	9.411	521	7.344	5239	8.793	937	8.005	1974	8.914	281	9.826	245	9.406	365	7.475	5164	9.722	135	7.295	1094	6.798	5005	6.96	10145	7.896	1201	9.749	448	8.144	380	7.376	1577	7.464	5167	8.777	4653	7.143	5489	7.374	1769	7.072	210	13.112	1516	7.463	4507	8.778	668	11.499	1950	7.901	1085	7.905	667	6.673	734	6.765	441	7.287	742	10.086	398	14.513	326	12.147	454	10.913	708	19.397	955	10.646	1265	18.67	216	9.298	374	11.028	636
		8.64	1248	7.87	4821	7	1144	10.048	281	7.881	5709	12.792	672	7.712	1680	9.601	1555	8.647	2157	7.707	1352	6.678	3201	6.975	14689	8.014	1607	6.634	112	6.813	5825	7.094	480	9.593	1877	7.089	1267	9.733	255	7.873	5634	6.816	4663	8.165	344	8.8	964	8.015	1199	7.398	1285	8.643	2358	8.297	5722	7.113	1750	8.351	156	9.594	1777	7.39	1412	9.315	501	8.192	269	9.318	438	9.898	308	9.596	1296	7.707	540	9.819	256	7.472	5783	6.904	2879	7.145	5345	7.993	1614	9.81	222	8.178	689	7.461	279	7.696	579	8.895	314	7.328	3874	7.522	431	7.284	1323	13.535	4932	7.694	470	9.578	1624	11.602	246	8	1477	8.002	1102	6.706	487	7.074	447	7.465	3825	10.259	771	14.813	428	12.211	1193	11.027	736	19.708	841	10.714	1451	19.394	388	9.39	465	11.341	936
		8.686	590	7.917	836	7.309	1267	10.12	537	7.925	1071	13.014	2531	7.875	6514	9.832	208	8.801	1297	7.869	5345	6.811	6121	7.092	398	8.165	375	6.686	790	6.921	3305	7.163	8755	9.731	143	7.34	7470	9.773	751	7.917	1177	6.923	2634	8.199	742	8.919	447	8.165	371	7.546	351	8.688	698	8.358	229	7.35	8409	8.527	1876	9.727	288	7.537	504	9.408	557	8.289	3457	9.593	1680	10.037	605	9.721	175	8.288	18951	9.893	355	7.703	615	6.98	1448	7.332	3652	8.254	1830	9.882	269	8.274	6189	7.523	490	8.277	18349	9.153	552	7.375	1672	7.587	1113	7.461	6603	13.766	185	8.276	15502	9.712	150	11.936	9431	8.153	240	8.153	229	6.964	15333	7.216	1730	7.696	571	10.471	2149	14.911	2568	12.98	1202	11.342	1104	20.087	2141	10.908	567	19.705	279	9.586	1067	11.416	760
		8.798	550	8.014	1199	7.486	6939	10.293	599	8.024	1545	13.187	1165	7.919	1170	10.044	346	8.917	431	7.915	965	6.919	3585	7.162	7897	8.198	749	6.721	471	6.998	985	7.35	6067	9.829	250	7.388	2278	9.835	231	8.015	1448	6.998	1688	8.295	5046	9.323	540	8.2	748	7.61	843	8.802	1192	8.537	2419	7.397	2724	8.572	631	9.766	1058	7.604	925	9.59	1843	8.421	553	9.724	183	10.108	655	9.763	867	9.184	1443	10	183	8.285	21760	7.204	559	7.379	1287	8.62	1793	10.094	496	8.333	265	7.59	613	8.509	337	9.31	7575	7.459	401	7.847	9126	7.692	811	14.22	268	9.172	1261	9.809	276	12.057	1227	8.285	2130	8.282	5350	7.079	425	7.329	958	8.279	13671	10.549	260	15.844	427	13.529	1232	11.416	777	20.154	506	11.025	602	20.087	554	9.704	269	11.496	1295
