reference	GSL5	GSL10	GSL15	GSL20	GSL25	GSL30	GSL35	GSL40	GSL45	GSL50	GSL55	GSL60	GSL65	GSL70	GSL75	GSL80	GSL85	GSL90	GSL95	GSL100	GSL105	GSL110	GSL115	GSL120	GSL125	GSL130	GSL135	GSL140	GSL145	GSL150	GSL155	GSL160	GSL165	GSL170	GSL175	GSL180	GSL185	GSL190	GSL195	GSL200	GSL205	GSL210	GSL215	GSL220	GSL225	GSL230	GSL235	GSL240	GSL245	GSL250	GSL255	GSL260	GSL265	GSL270	GSL275	GSL280	GSL285	GSL290	GSL295	GSL315	GSL320	GSL325	GSL330	GSL335	GSL340	GSL345	GSL350	GSL355																																																																					
Time	Area																																																																																																																																								
		10.675	2619	9.177	1207	9.661	188	11.329	704	9.185	757	18.432	1217	8.69	1167	11.109	188	10.381	2031	8.799	9739	8.434	387	8.734	3368	9.332	13392	8.165	1094	8.529	1415	8.803	926	11.052	1711	8.284	12178	10.941	1981	9.773	1239	8.916	1135	9.462	690	10.58	469	9.334	11098	9.414	412	10.043	762	9.594	2159	8.2	2660	9.724	413	10.737	3487	8.528	3527	10.629	1399	9.819	200	10.934	1263	11.154	377	11.257	213	10.626	1820	11.042	2053	9.818	331	9.257	653	9.299	374	9.884	476	11.422	948	9.441	843	9.148	499	10.435	427	10.351	922	9.393	842	9.559	3751	9.633	256	18.612	468	11.937	598	10.914	1530	14.816	27884	9.759	3291	9.578	2016	8.415	837	8.902	300	11.738	1266	11.599	902	20.151	609	17.442	2258	14.816	1522	24.655	784	14.911	2733	23.683	412	10.649	2173	14.513	380
		10.739	3516	9.332	11659	9.717	1173	11.372	2333	9.342	12902	18.712	732	8.805	10893	11.265	244	10.489	15175	8.915	390	8.527	1380	8.802	842	9.413	4301	8.271	1382	8.881	557	8.919	345	11.105	226	8.342	880	11.057	1973	9.833	333	9.194	2408	9.494	2186	10.634	1743	9.414	4870	9.577	4375	10.113	1085	9.735	544	8.294	13937	9.76	849	10.852	1285	8.573	1208	10.672	2658	9.894	2024	11.048	1520	11.26	335	11.359	2712	10.821	557	11.094	275	9.93	306	9.453	2540	9.397	999	9.989	208	11.501	2653	9.47	2439	9.312	3218	10.474	672	10.404	880	9.556	4951	9.711	489	9.692	1021	18.681	2131	12.056	733	11.031	1937	14.917	1200	9.817	225	9.719	494	8.627	2974	9.302	521	11.937	503	11.91	1265	20.868	420	19.395	856	14.913	4184	25.137	1897	15.9	422	24.515	379	10.717	2989	14.814	1537
		10.845	1234	9.414	4875	9.776	329	11.446	1164	9.424	3991	18.878	489	8.921	441	11.324	732	10.579	3772	9.064	236	8.877	599	8.917	284	9.462	847	8.428	964	8.915	896	9.046	1013	11.262	281	8.408	406	11.111	329	9.906	810	9.276	595	9.597	1624	10.675	2925	9.493	2909	9.692	185	10.289	1237	9.77	1106	8.35	1098	9.821	495	10.933	1354	8.635	4344	10.735	3773	10.106	333	11.105	201	11.362	3540	11.435	1203	10.882	2998	11.143	433	10.219	599	9.575	4282	9.564	4284	10.022	618	11.606	1019	9.57	2481	9.394	1673	10.579	432	10.476	16642	10.281	466	9.745	608	9.807	423	19.183	41048	12.215	1232	11.085	270	15.906	454	9.89	1323	9.756	1554	8.721	3482	9.571	2209	12.056	578	12.054	4100	20.994	709	19.708	815	15.85	634	25.312	43589	16.214	299	24.722	187	10.822	1033	14.911	3432
		10.938	1414	9.464	829	9.833	346	11.525	1829	9.472	833	19.678	16145	9.07	283	11.368	2365	10.635	1572	9.174	1133	8.912	1296	9.043	935	9.492	2452	8.58	375	9.191	3168	9.154	503	11.364	3565	8.528	6168	11.156	478	9.947	263	9.39	270	9.731	726	10.741	4096	9.598	1626	9.734	1064	10.349	109	9.831	675	8.418	391	9.894	5390	11.049	1631	8.678	1283	10.842	1443	10.292	321	11.26	245	11.437	1268	11.513	1841	11.541	54170	11.254	353	10.447	539	9.637	290	9.757	239	10.093	900	11.919	1960	9.711	647	9.559	4159	10.614	1751	10.554	548	10.478	416	9.808	551	9.92	297	19.715	347	12.245	664	11.244	300	16.056	605	9.999	162	9.816	584	8.789	832	9.712	255	12.243	1022	12.982	790	21.331	481	20.087	1682	15.901	385	25.362	279	17.089	555	25.158	926	10.91	1217	15.844	369
		11.052	1790	9.492	2243	9.948	220	11.631	1213	9.503	2361	19.944	196	9.116	210	11.442	1212	10.702	2511	9.331	14461	9.189	3261	9.152	433	9.588	2558	8.641	3493	9.272	838	9.316	577	11.439	1456	8.571	1998	11.268	332	10.012	301	9.47	2494	9.77	1365	10.848	1485	9.734	608	9.766	885	10.499	11973	9.904	7539	8.536	6961	10.003	724	11.105	206	8.793	10240	10.931	1894	10.491	7367	11.317	736	11.516	2570	11.617	1705	11.751	1504	11.31	962	10.482	752	9.697	1721	10.28	983	10.267	1280	12.061	12919	9.747	1233	9.751	326	10.809	538	10.614	1668	10.649	10630	9.881	933	10.208	798	20.094	1332	12.478	259	11.345	3896	16.22	441	10.029	536	9.889	7124	9.034	929	9.753	2129	12.478	294	13.529	1434	21.38	4236	20.153	455	16.609	2075	25.615	249	17.359	394	25.307	18019	11.026	1471	15.899	242
		11.104	232	9.593	1743	10.234	717	11.931	2123	9.598	2346	19.993	231	9.18	1300	11.521	2125	10.735	2374	9.412	5725	9.271	805	9.316	599	9.732	589	8.735	3758	9.387	411	9.415	1303	11.518	2447	8.634	7178	11.37	4004	10.046	804	9.594	5313	9.831	713	10.937	2248	9.77	1288	9.831	818	10.581	557	10.013	1103	8.579	2512	10.036	616	11.261	274	8.909	452	11.047	1793	10.664	10380	11.362	2598	11.622	1419	11.929	1659	11.949	724	11.356	3175	10.623	3083	9.813	566	10.482	556	10.478	5626	12.211	680	9.809	759	9.805	218	10.87	243	10.666	2049	11.503	520	9.92	280	10.47	1622	21.003	472	12.593	4386	11.42	1455	16.387	4379	10.092	1253	9.997	1057	9.139	450	9.813	248	12.593	1954	14.344	13717	21.478	1810	20.637	4232	17.091	814	26.176	2576	17.44	2044	26.172	825	11.081	189	16.608	1188
		11.154	366	9.732	652	10.601	524	12.086	6409	9.743	562	20.649	10899	9.242	347	11.627	1328	10.847	537	9.49	3681	9.386	345	9.413	1235	9.768	1241	8.802	1029	9.468	3236	9.565	8584	11.623	1470	8.676	2327	11.444	1505	10.116	993	9.655	385	9.903	6036	11.054	2147	9.83	714	9.904	1627	10.636	3414	10.045	895	8.643	8289	10.105	904	11.32	859	9.057	319	11.102	258	11.36	566	11.436	1356	11.939	2423	12.074	5174	12.07	1147	11.43	1430	10.818	630	9.927	402	10.654	9507	10.56	487	12.246	901	9.881	8183	9.882	1896	11.534	57003	10.722	2913	11.94	337	9.988	377	10.573	651	21.488	566	12.762	1968	11.499	2273	16.63	300	10.272	1923	10.03	675	9.301	518	9.886	1908	12.763	1798	14.513	436	21.763	555	20.995	1268	17.362	519	26.361	1580	19.394	732	26.358	1040	11.239	223	17.089	703
		11.264	297	9.768	1236	10.637	1910	12.178	895	9.779	1213	21.427	1909	9.336	15726	11.926	2239	10.933	850	9.587	2338	9.466	3380	9.564	7711	9.828	769	9.045	995	9.591	5577	10.3	817	11.924	2719	8.793	20952	11.523	2162	10.29	1178	9.717	1633	10.011	895	11.105	280	9.903	6996	10.009	724	10.675	3708	10.114	1136	8.685	2850	10.263	1062	11.363	2815	9.104	232	11.148	328	11.436	617	11.515	2553	12.076	16161	12.166	583	12.227	1846	11.51	2494	10.88	2782	10.214	1118	11.944	347	10.616	1593	12.769	819	9.99	1076	10.28	353	11.739	1460	10.829	1072	12.06	3592	10.021	1007	10.611	2654	21.769	383	12.988	2278	11.604	1591	16.949	1074	10.329	120	10.098	1126	9.4	1390	9.992	161	12.984	1339	14.814	645	21.807	423	21.126	315	17.443	2393	26.536	1465	19.706	743	26.531	990	11.296	695	17.359	421
		11.366	3708	9.829	728	10.832	873	12.238	1294	9.84	727	21.746	8138	9.418	6648	12.081	7880	11.051	694	9.731	767	9.589	6092	9.771	352	9.901	8449	9.154	429	9.653	462	10.497	658	12.079	8270	8.872	205	11.629	1646	10.501	10525	9.77	2084	10.042	710	11.158	539	10.012	1115	10.043	1171	10.742	5350	10.27	1449	8.801	25649	10.364	1467	11.438	1598	9.167	1179	11.26	305	11.513	2515	11.621	1522	12.23	1188	12.227	868	12.256	663	11.614	1685	11.347	304	10.441	873	12.065	3733	10.656	3678	12.932	394	10.021	899	10.478	7839	11.938	712	10.911	2119	12.986	1595	10.091	1438	10.718	526	21.827	3917	13.139	1339	11.911	2393	17.365	37776	10.484	6806	10.269	2318	9.554	7880	10.023	451	13.392	826	14.912	3738	22.507	4259	21.333	466	18.841	384	26.755	2113	19.923	958	26.751	790	11.34	2385	17.441	2137
		11.44	1322	9.902	7144	10.893	218	12.79	420	9.912	8188	22.454	7965	9.496	4022	12.173	705	11.366	1262	9.767	1512	9.65	549	10.296	1148	10.01	1215	9.244	331	9.712	2012	10.661	17700	12.171	373	8.909	991	11.931	2833	10.582	502	9.83	641	10.112	984	11.267	429	10.044	757	10.111	1539	10.847	1973	10.375	2079	8.916	807	10.417	1266	11.516	2225	9.325	18219	11.318	906	11.619	559	11.923	2422	12.264	571	12.267	270	12.491	294	11.921	2746	11.543	58402	10.477	1137	12.992	936	10.722	4912	12.989	3245	10.092	1289	10.653	10145	12.058	1038	11.03	1200	13.151	880	10.263	1739	10.807	1149	22.084	1101	13.394	544	12.059	10028	17.448	745	10.567	473	10.41	571	9.758	303	10.094	820	13.493	424	15.846	732	22.712	2540	21.383	5786	19.396	1024	26.958	2848	20.087	1139	26.953	1083	11.415	1131	18.673	381
		11.519	2149	10.011	1197	11.186	335	13.01	1087	10.021	1126	22.503	1928	9.59	2356	12.235	2585	11.441	875	9.828	871	9.711	2502	10.496	702	10.039	1120	9.317	677	9.772	269	11.52	1083	12.231	1331	9.005	823	12.083	10235	10.637	3917	9.895	533	10.269	1327	11.323	999	10.113	1036	10.287	2045	10.937	2960	10.426	1760	9.013	825	10.49	19808	11.621	1910	9.407	5597	11.361	3113	11.881	6059	12.075	7836	12.782	556	12.781	339	12.605	2594	12.07	10618	11.748	1661	10.58	780	13.151	1079	10.827	1738	13.114	1005	10.247	1652	11.348	660	12.215	2955	11.155	774	13.536	1117	10.326	158	10.868	335	22.684	429	13.494	397	12.152	1112	18.605	363	10.623	2884	10.484	23210	10.279	1577	10.265	3220	13.532	578	15.9	628	23.124	1269	21.481	2211	19.709	898	27.044	276	20.868	2148	27.563	1560	11.495	1628	18.839	291
		11.625	1493	10.043	901	11.321	223	13.184	632	10.05	1233	22.667	9787	9.737	859	12.786	404	11.519	2194	9.901	8445	9.826	588	10.66	16119	10.111	1276	9.415	1483	9.828	674	11.624	267	12.268	375	9.059	929	12.176	623	10.677	3160	9.947	537	10.361	1605	11.367	3382	10.37	1456	10.345	195	11.055	2791	10.5	26437	9.067	928	10.573	694	11.924	2464	9.485	4106	11.436	1603	11.951	768	12.168	634	12.947	238	12.998	1312	12.776	2161	12.222	994	11.948	841	10.619	2854	13.541	1476	10.919	2015	13.16	674	10.35	2328	11.423	605	12.479	306	11.244	292	14.351	14762	10.476	14461	11.16	471	22.726	419	13.533	465	12.214	2117	18.846	570	10.662	3428	10.567	466	10.483	545	10.479	6027	13.982	1842	15.939	1367	23.383	1053	21.763	357	20.088	1804	27.566	978	20.994	1317	27.706	1242	11.599	1196	19.396	834
		11.923	2684	10.111	1097	11.36	599	13.562	3070	10.122	1286	23.584	166	9.773	1762	13.008	2524	11.625	857	10.01	1367	9.946	538	11.519	1167	10.268	1576	9.564	8212	9.893	424	11.958	535	12.783	425	9.108	397	12.235	1090	10.744	4677	10.097	887	10.425	1348	11.441	1641	10.426	1235	10.386	275	11.106	369	10.581	894	9.116	203	10.627	1599	12.076	8897	9.575	3315	11.514	2267	12.074	12849	12.229	3701	13.002	3216	13.55	2123	13.003	3267	12.26	484	12.068	1396	10.724	698	14.356	14177	11.033	2402	13.537	11578	10.404	1953	11.501	1984	12.594	3164	11.344	3574	14.521	828	10.558	741	11.296	227	23.133	1194	13.984	1854	12.766	574	19.087	329	10.727	4964	10.621	3155	10.649	16327	10.557	433	14.056	755	16.61	429	23.443	212	22.469	1713	20.153	882	27.65	304	21.331	287	28.245	296	11.907	1815	19.708	802
		12.079	9016	10.369	1552	11.575	67644	14.376	20518	10.292	1692	23.634	3787	9.833	960	13.172	859	11.958	7985	10.037	1151	10.063	322	11.624	248	10.372	2296	9.77	1218	9.944	722	12.08	5614	13.003	2511	9.171	3283	12.273	493	10.85	1705	10.231	913	10.498	27364	11.521	3306	10.499	31186	10.497	14311	11.16	705	10.635	3291	9.18	4246	10.669	2597	12.169	594	9.726	780	11.62	1769	12.165	593	13.007	4622	13.126	352	14.365	19588	13.163	686	12.322	280	12.224	4145	10.813	1475	14.526	801	11.086	336	13.67	408	10.477	30216	11.606	623	12.764	2453	11.42	1507	14.821	602	10.613	3921	11.335	632	23.393	1228	14.059	713	12.985	2188	19.268	449	10.834	1863	10.671	2972	11.506	540	10.617	1791	14.347	25305	16.947	284	23.547	271	22.508	3328	20.64	3415	27.711	3153	21.378	844	28.355	399	12.054	6275	19.955	263
		12.232	1628	10.424	1357	11.761	1621	14.547	606	10.381	1984	24.086	297	9.906	9492	13.558	3076	12.017	223	10.11	1309	10.228	1276	11.957	446	10.422	2061	9.899	404	10.23	1382	12.782	508	13.176	704	9.23	137	12.334	279	10.938	2724	10.459	849	10.581	803	11.626	1733	10.581	759	10.581	951	11.269	484	10.692	3298	9.239	117	10.735	3457	12.229	1332	9.761	1667	11.923	2587	12.23	614	13.162	1334	13.174	537	14.535	598	13.399	4085	12.776	398	12.488	294	10.875	559	14.825	570	11.134	411	13.784	571	10.559	1068	11.869	2766	12.991	2686	11.498	4328	14.919	4187	10.653	4974	11.555	78373	23.556	301	14.349	22098	13.158	639	19.647	28931	10.925	2372	10.727	4326	11.61	271	10.665	4675	14.916	265	17.091	842	23.636	396	23.126	2070	20.998	1003	28.25	1389	21.479	702	28.425	8163	12.146	190	20.087	1538
		13.005	1822	10.498	32066	11.961	809	14.844	1386	10.434	1756	24.351	2399	10.015	1575	14.372	16668	12.079	9189	10.263	1702	10.387	270	12.078	5381	10.497	29400	10.288	2458	10.389	354	12.82	484	13.554	3342	9.325	31234	12.789	446	11.056	2398	10.497	1003	10.634	1409	11.829	401	10.634	1645	10.634	7129	11.368	5826	10.743	4592	9.333	36923	10.841	1252	12.267	367	9.822	973	12.074	9532	12.263	403	13.551	3101	13.551	13600	14.693	259	13.508	515	12.994	1747	12.603	3143	11.167	723	14.925	4089	11.246	398	14.223	270	10.614	2229	11.938	822	13.394	1030	11.604	1400	15.91	328	10.72	7050	11.736	2460	23.644	621	14.918	339	13.535	3847	19.919	436	11.039	2332	10.836	1612	11.944	492	10.721	4406	15.948	357	17.362	515	23.809	986	23.385	1175	21.126	559	28.291	638	21.761	265	28.533	248	12.98	988	20.626	10583
		13.401	450	10.58	754	12.081	1075	14.945	5579	10.508	27543	24.654	357	10.043	1224	14.543	713	12.233	1129	10.363	2399	10.454	1375	12.781	711	10.579	980	10.497	782	10.491	2548	13.008	2762	14.369	20500	9.407	12822	13.006	1291	11.107	351	10.599	738	10.692	2698	11.935	3061	10.692	2893	10.674	5011	11.442	2058	10.851	1654	9.414	15097	10.926	2462	12.782	521	9.895	10352	12.167	357	12.778	974	14.366	19059	13.687	299	14.836	1091	13.547	1137	13.168	513	12.774	2271	11.305	341	17.103	895	11.346	5221	14.268	410	10.661	3938	12.061	13890	13.496	455	11.867	9129	16.222	220	10.825	2626	11.806	1059	24.438	1844	15.623	800	14.35	20123	19.961	492	11.092	276	10.919	3295	12.064	5066	10.839	2392	16.638	288	17.443	2588	23.981	261	23.548	254	21.334	644	28.362	834	22.416	947	28.598	114170	13.528	2630	20.997	907
		13.555	3446	10.633	1515	12.238	1702	15.866	1536	10.59	959	24.848	1454	10.115	1399	14.833	3977	12.266	566	10.423	1930	10.492	1124	12.824	459	10.632	2614	10.66	17255	10.596	1044	13.147	2049	14.54	808	9.486	7492	13.179	658	11.157	888	10.635	3737	10.744	3434	12.081	17282	10.745	3999	10.742	7803	11.522	4256	10.935	3239	9.493	9468	11.044	1713	13	1494	10.004	1404	12.227	955	12.943	488	14.537	763	13.797	733	14.933	4978	13.997	2156	13.546	4137	13.003	4615	11.341	1045	17.148	250	11.422	1999	14.367	4248	10.72	5258	12.218	869	13.535	912	12.006	1078	17.098	979	10.914	3917	11.852	323	24.524	906	16.641	369	14.52	858	20.349	449	11.138	477	11.037	2219	12.991	1405	10.916	2422	16.947	1091	19.397	964	24.521	1035	23.638	470	21.382	1537	28.431	20877	22.506	2636	28.79	643	14.342	13280	21.126	313
		14.371	18471	10.692	2940	12.268	1012	15.935	1244	10.643	3332	25.367	3215	10.273	1928	14.941	5641	12.494	254	10.497	39100	10.592	933	13.009	2839	10.683	3755	11.52	1368	10.632	4214	13.555	1759	14.837	2675	9.572	4923	13.559	3829	11.271	426	10.743	652	10.853	1281	12.233	1120	10.851	1446	10.85	2816	11.627	2295	11.053	2292	9.57	6901	11.103	254	13.171	996	10.032	1197	12.265	512	13.005	2973	14.83	5831	14.033	240	15.86	1050	14.072	855	14.361	20383	13.147	1228	11.582	103196	17.373	440	11.501	3089	14.525	1465	10.829	1926	12.767	443	13.985	2197	12.059	23693	17.14	281	11.032	3624	11.936	1009	24.607	547	16.95	1417	14.821	2300	20.635	15134	11.255	334	11.096	382	13.136	1942	11.034	2115	18.844	443	19.71	956	24.611	326	24.526	1286	21.482	955	28.542	746	22.715	1761	28.901	383	14.512	608	21.334	450
		14.542	886	10.741	4024	12.502	298	16.248	248	10.697	3486	25.636	2077	10.368	2651	15.856	1708	12.558	1589	10.578	1094	10.631	5104	13.138	2916	10.741	5127	11.622	602	10.697	205	14.103	210	14.938	6461	9.727	2238	14.374	16399	11.369	5022	10.831	1238	10.933	2809	12.269	780	10.933	3241	10.936	5034	11.927	4575	11.108	305	9.733	2630	11.168	780	13.553	4754	10.105	1759	12.78	504	13.135	3049	14.935	6574	14.237	334	15.923	721	14.362	22436	14.531	995	13.396	4008	11.743	3676	17.455	2202	11.606	2245	14.582	1079	10.912	3724	12.93	464	14.06	815	12.115	1260	17.369	445	11.082	504	12.056	1354	24.656	546	17.394	301	14.919	6974	21.007	545	11.354	4996	11.162	1389	13.542	1148	11.087	711	19.267	899	20.088	1877	24.725	1563	24.725	298	21.768	989	28.607	292804	23.123	2727	29.138	425	14.812	812	21.383	4212
		14.832	3896	10.85	1483	12.616	3778	17.125	1109	10.753	4840	25.676	1261	10.429	2030	15.931	1595	12.781	762	10.631	2186	10.737	835	13.554	2146	10.847	1855	11.886	205	10.737	1129	14.37	15387	15.858	1956	9.762	3459	14.544	1162	11.443	1776	10.891	324	11.05	1540	12.332	300	11.053	1962	11.054	3908	12.082	27144	11.178	1335	9.769	4124	11.201	245	13.908	299	10.268	2237	12.999	1376	13.415	1590	15.857	1725	14.281	296	16.234	294	14.931	547	14.832	2103	13.505	544	11.815	911	18.688	263	11.909	3456	14.822	1566	11.032	2619	12.988	1832	14.38	1001	12.213	1400	17.45	2225	11.146	885	12.213	4308	25.143	1025	17.45	317	15.848	1414	21.396	25190	11.427	1894	11.254	437	13.672	429	11.129	633	19.96	275	20.997	967	25.135	1365	25.136	1421	21.811	852	28.788	1291	23.383	959	29.355	1508	14.911	5445	21.482	2249
		14.939	6530	10.933	3345	12.787	2337	17.395	705	10.861	1798	26.219	1609	10.502	43561	16.243	201	12.949	242	10.69	3707	10.826	1915	14.101	198	10.932	3601	11.957	452	10.827	1986	14.54	1324	15.928	2056	9.822	1976	14.844	1685	11.524	4132	11.145	463	11.177	1120	12.394	252	11.11	253	11.105	497	12.233	1783	11.268	441	9.831	2658	11.257	376	14.368	17789	10.364	2730	13.171	768	13.55	13920	15.925	947	14.367	22178	16.629	1100	15.641	2595	14.93	7633	13.544	1312	11.856	538	19.409	865	12.061	11022	14.92	9326	11.087	372	13.126	2242	14.53	262	12.244	1163	17.751	226	11.247	648	12.476	414	25.172	318	19.018	305	15.908	1475	21.714	14909	11.507	3260	11.352	5396	13.79	188	11.247	229	20.347	909	21.333	210	25.258	242	25.311	36910	21.91	408	28.91	649	23.636	360	29.505	1003	15.844	964	21.766	672
		15.855	1911	11.051	2004	13.017	3449	17.477	3701	10.944	3459	26.525	255	10.585	1272	17.121	1172	13.004	2883	10.742	4879	11.18	823	14.369	13600	11.051	2546	12.079	5831	10.932	400	14.839	1244	16.24	240	9.895	19241	14.942	7419	11.628	2363	11.184	802	11.266	404	12.562	1040	11.178	1044	11.18	2333	12.266	1108	11.368	5611	9.903	22240	11.359	4192	14.538	773	10.418	2382	13.55	4970	13.793	997	16.237	326	14.538	1755	16.963	759	15.962	627	15.855	1633	13.993	2383	11.943	1653	19.721	717	12.153	564	15.196	3704	11.156	1515	13.404	1340	14.92	380	12.31	271	19.405	880	11.345	7753	12.591	4291	25.318	29346	19.269	542	16.219	236	22.038	326	11.612	1971	11.427	2259	14.354	15510	11.347	4263	20.652	6972	21.383	3936	25.311	29786	25.361	153	22.088	373	29.026	314	24.529	972	29.647	1094	15.899	769	21.811	523
		15.929	1414	11.109	238	13.179	605	18.431	633	11.062	2402	26.576	263	10.637	2213	17.391	685	13.107	1292	10.851	1752	11.316	480	14.538	1230	11.105	357	12.781	876	11.181	804	14.938	6566	16.968	699	10.004	3545	15.861	1907	11.683	539	11.32	308	11.367	4325	12.676	211	11.206	407	11.269	564	12.332	401	11.444	2360	10.012	3926	11.434	1767	14.837	2159	10.491	38418	13.906	302	14.032	414	16.632	1201	14.595	612	17.112	1018	16.655	421	15.92	1665	14.069	829	12.063	2092	20.662	2782	12.212	1180	15.428	1916	11.248	501	13.535	14511	15.623	950	12.373	194	19.716	731	11.419	2774	12.762	3711	25.368	388	19.962	243	16.95	437	22.472	10536	11.938	2087	11.506	6528	14.524	1312	11.426	2727	21.39	30031	21.482	1982	25.361	173	25.611	442	22.511	4769	29.144	3637	24.724	270	29.785	10197	16.211	244	21.908	214
		15.957	2022	11.178	1647	13.414	859	18.736	213	11.117	426	26.971	1551	10.696	4078	17.472	3401	13.178	8171	10.932	3967	11.353	1226	14.837	1535	11.175	1452	12.825	456	11.353	1634	15.216	412	17.117	1401	10.033	2687	15.965	6645	11.831	165	11.357	823	11.441	1964	12.782	1312	11.268	396	11.323	2124	12.395	340	11.521	6335	10.038	2939	11.512	4649	14.936	8052	10.574	1387	14.394	279	14.366	17577	16.966	850	14.836	1156	17.381	608	16.963	1439	15.964	1249	14.359	21616	12.22	2423	21.01	910	12.25	650	15.493	104	11.346	6428	13.779	940	15.95	409	12.765	748	20.646	4028	11.5	5623	12.995	4706	26.183	2387	20.16	263	17.097	1320	22.676	14483	12.067	12744	11.611	2442	14.822	948	11.501	2867	21.769	210	21.764	352	25.607	1575	26.175	1828	23.127	1797	29.259	3250	25.134	1264	29.885	3459	17.088	1118	22.028	154
		16.241	211	11.267	431	13.522	572	18.877	333	11.187	1464	27.753	825	10.746	5487	18.425	1262	13.303	730	11.05	2424	11.61	119357	14.937	6027	11.265	468	13.012	3429	11.624	139090	15.446	186	17.388	830	10.104	3840	16.243	259	11.927	3108	11.592	91430	11.519	5340	12.951	310	11.367	5154	11.367	7205	12.563	973	11.627	2692	10.111	4458	11.619	1841	15.642	347	10.627	2893	14.537	825	14.536	1196	17.114	1310	14.935	11001	17.464	3177	17.405	604	16.231	390	14.536	623	12.249	1673	21.392	3188	12.312	361	15.554	443	11.421	2681	14.018	413	16.641	1178	12.821	135	21.005	1191	11.605	3679	13.131	1786	26.543	1289	20.349	666	17.367	782	23.327	1403	12.158	1452	11.665	218	14.922	6257	11.604	3322	22.033	216	22.511	4195	25.843	490	26.361	1362	23.386	1436	29.362	9085	25.309	28275	30.105	309	17.358	717	22.084	264
		17.119	1384	11.366	5212	13.557	775	19.432	1291	11.279	430	28.335	421	10.857	1979	18.869	448	13.348	259	11.104	431	11.755	2880	15.215	366	11.365	6237	13.139	3221	11.756	3378	15.925	284	17.468	4057	10.194	1638	16.639	677	12.082	22895	11.759	2136	11.626	2172	13.009	4169	11.443	2267	11.441	3218	12.678	250	11.677	1096	10.201	1694	11.668	307	15.86	1813	10.671	5144	14.835	2032	14.594	521	17.385	810	15.042	211	18.861	408	17.463	415	16.961	619	14.674	184	12.483	493	21.496	1603	12.376	207	15.593	290	11.499	6668	14.352	13621	16.95	1390	12.926	1041	21.135	318	11.657	498	13.391	1478	26.762	1445	20.653	2955	17.449	3943	23.554	318	12.22	3858	11.757	546	15.198	3031	11.911	3202	22.087	948	22.717	2516	26.176	1847	26.536	1266	23.55	222	29.446	4928	25.361	193	30.159	457	17.439	3778	22.445	5998
		17.39	848	11.441	2333	14.008	2573	19.679	310	11.376	5866	28.47	2146	10.938	4399	19.427	1323	13.391	916	11.177	1943	11.863	217	15.967	300	11.44	2688	13.555	2169	11.822	397	15.969	432	18.431	473	10.26	2958	17.121	1554	12.235	4015	11.959	1083	11.674	990	13.13	325	11.52	6083	11.521	6230	12.785	1317	11.773	637	10.266	3241	11.88	10455	15.927	1516	10.735	6793	14.934	8344	14.835	2093	17.466	3855	15.21	2853	19.283	482	17.629	1050	17.108	1512	14.835	680	12.598	4570	21.778	338	12.764	750	15.756	534	11.605	3105	14.522	1179	17.394	487	12.989	3842	21.342	317	11.693	162	13.497	598	26.884	2172	21.162	2113	18.708	625	23.601	7383	12.319	407	11.874	6755	15.428	1843	12.06	14719	22.37	736	23.126	3259	26.359	2799	26.755	1746	23.638	546	29.51	6545	25.609	382	30.258	3243	19.393	1327	22.509	5615
		17.471	4029	11.489	1731	14.083	862	19.746	1429	11.451	2471	28.646	125341	11.055	2670	19.673	235	13.496	772	11.265	534	11.955	1598	16.24	278	11.519	7103	14.37	14037	11.957	1358	16.24	322	18.724	944	10.289	1604	17.391	956	12.333	372	12.078	1711	11.716	218	13.178	741	11.627	2604	11.627	4304	12.842	537	11.889	12910	10.296	1903	12.02	1159	16.239	380	10.843	2500	15.858	1744	14.934	8671	17.685	235	15.331	458	19.417	1174	18.62	306	17.378	928	14.928	646	12.768	4246	22.522	4501	12.931	181	15.849	1366	11.655	1177	14.58	457	17.451	382	13.114	934	21.389	2111	11.905	5855	13.534	1087	26.963	2430	21.388	13947	18.846	375	23.689	1017	12.38	200	12.012	676	15.594	308	12.151	1171	22.479	8412	23.386	1293	26.45	1106	26.958	2446	24.521	1069	29.652	6596	26.175	1781	30.502	7197	19.639	362	22.658	10235
		18.425	495	11.52	4583	14.373	19618	20.122	2612	11.532	7305	29.184	576	11.112	431	19.739	1246	13.556	7068	11.365	6407	12.075	2238	16.41	254	11.624	3031	14.54	1297	12.076	1917	16.41	203	18.868	353	10.365	6353	17.473	4501	12.396	302	12.235	4967	11.771	531	13.556	11045	11.675	821	11.676	719	12.877	581	11.958	1661	10.373	7384	12.073	27309	16.634	1288	10.928	4831	15.925	998	15.209	464	18.436	2131	15.442	1419	19.574	1946	18.858	580	17.46	4525	15.636	3506	12.857	427	22.734	1938	12.989	2088	15.91	535	11.75	717	14.822	1308	18.848	480	13.154	1208	21.489	667	12.059	31366	13.693	613	27.718	2813	21.466	1142	19.403	1447	24.545	733	12.522	3950	12.065	34107	15.912	1147	12.214	1864	22.697	5264	23.55	283	26.535	1171	27.044	268	24.612	853	29.791	30127	26.359	499	30.639	4558	19.705	1437	23.126	2105
